📡乐享汇fans👉公告,#genre#
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV15,http://222.241.154.37:9901/tsfile/live/23015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226648/1.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8
CCTV4K,https://tv.cry33.com/ys4k.php?id=4k
CCTV8K,http://qq01xp.serv00.net/2024.php?id=cctv8k
CCTV8K,https://tv.cry33.com/ys4k.php?id=8k
CCTV16-4k,https://tv.cry33.com/ys4k.php?id=16-4k


CCTV1,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8
CCTV2,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV3,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV4,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV5,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576403.m3u8
CCTV5+,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574303.m3u8
CCTV7,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV8,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV9,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576003.m3u8
CCTV10,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573001.m3u8
CCTV11,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8
CCTV12,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575803.m3u8
CCTV13,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575703.m3u8
CCTV14,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575603.m3u8
CCTV15,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575403.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV17,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8
CCTV兵器科技,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV第一剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV怀旧剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV风云剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV风云音乐,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV风云足球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV电视指南,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV女性时尚,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV央视文化精品,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV世界地理,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV高尔夫网球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV央视台球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513703.m3u8
CCTV卫生健康,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CGTN,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575001.m3u8
CGTN纪录,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574703.m3u8
CGTN西语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022571703.m3u8
CGTN法语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574903.m3u8
CGTN阿语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574603.m3u8
CGTN俄语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574803.m3u8


郑铁有线频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
人民铁道频道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8

CCTV1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://222.174.140.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://222.174.140.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://219.128.121.202:59901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://219.128.121.202:59901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV5,http://219.128.121.202:59901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5+,http://219.128.121.202:59901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6,http://219.128.121.202:59901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://219.128.121.202:59901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://219.128.121.202:59901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://219.128.121.202:59901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://219.128.121.202:59901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://219.128.121.202:59901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://219.128.121.202:59901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://219.128.121.202:59901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://219.128.121.202:59901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://219.128.121.202:59901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV17,http://219.128.121.202:59901/tsfile/live/0019_1.m3u8?key=txiptv





CHC电影,http://nas.tuyuannet.cn:8800/rtp/239.37.0.187:5540
CHC动作电影,http://nas.tuyuannet.cn:8800/rtp/239.37.0.186:5540
CHC家庭影院,http://nas.tuyuannet.cn:8800/rtp/239.37.0.188:5540

CHC家庭影院,http://opdf.top:8088/rtp/239.81.0.238:4056
CHC动作电影,http://opdf.top:8088/rtp/239.81.0.239:4056
CHC电影,http://opdf.top:8088/rtp/239.81.0.240:4056

CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8

联通CCTV1,http://36.248.137.69:60033/tsfile/live/0001_1.m3u8?key=txiptv
联通CCTV2,http://36.248.137.69:60033/tsfile/live/0002_1.m3u8?key=txiptv
联通CCTV3,http://36.248.137.69:60033/tsfile/live/0003_1.m3u8?key=txiptv
联通CCTV4,http://36.248.137.69:60033/tsfile/live/0004_1.m3u8?key=txiptv
联通CCTV5,http://36.248.137.69:60033/tsfile/live/0005_1.m3u8?key=txiptv
联通CCTV6,http://36.248.137.69:60033/tsfile/live/0006_1.m3u8?key=txiptv
联通CCTV7,http://36.248.137.69:60033/tsfile/live/0007_1.m3u8?key=txiptv
联通CCTV8,http://36.248.137.69:60033/tsfile/live/0008_1.m3u8?key=txiptv
联通CCTV9,http://36.248.137.69:60033/tsfile/live/0009_1.m3u8?key=txiptv
联通CCTV10,http://36.248.137.69:60033/tsfile/live/0010_1.m3u8?key=txiptv
联通CCTV11,http://36.248.137.69:60033/tsfile/live/0011_1.m3u8?key=txiptv
联通CCTV12,http://36.248.137.69:60033/tsfile/live/0012_1.m3u8?key=txiptv
联通CCTV13,http://36.248.137.69:60033/tsfile/live/0013_1.m3u8?key=txiptv
联通CCTV14,http://36.248.137.69:60033/tsfile/live/0014_1.m3u8?key=txiptv
联通CCTV15,http://36.248.137.69:60033/tsfile/live/0015_1.m3u8?key=txiptv
联通CCTV17,http://36.248.137.69:60033/tsfile/live/0019_1.m3u8?key=txiptv

联通CCTV1,http://mtw.so/6heoTA
联通CCTV2,http://mtw.so/6oKBGx
联通CCTV3,http://mtw.so/6wgOLe
联通CCTV4,http://mtw.so/5y789F
联通CCTV5,http://mtw.so/5FDiD4
联通CCTV6,http://mtw.so/5NPW4c
联通CCTV7,http://mtw.so/62RWcG
联通CCTV8,http://mtw.so/69IbP3
联通CCTV9,http://mtw.so/6heoS8
联通CCTV10,http://mtw.so/6oKBGH
联通CCTV11,http://mtw.so/5y75Nx
联通CCTV12,http://mtw.so/5GnVnH
联通CCTV13,http://mtw.so/5NPWhK
联通CCTV14,http://mtw.so/5Vm9mr
联通CCTV15,http://mtw.so/69Ic2B
联通｜东方卫视,http://mtw.so/6hep7i
联通｜北京卫视,http://mtw.so/6wgP0y
联通｜山东卫视,http://mtw.so/5y75NH
联通｜江苏卫视,http://mtw.so/5FDiSo
联通｜浙江卫视,http://mtw.so/5GnVmf
联通｜湖南卫视,http://mtw.so/6oKBYh

联通CCTV1,http://123.113.11.89:4022/rtp/239.3.1.129:8008
联通CCTV2,http://123.113.11.89:4022/rtp/239.3.1.60:8084
联通CCTV3,http://123.113.11.89:4022/rtp/239.3.1.172:8001
联通CCTV4,http://123.113.11.89:4022/rtp/239.3.1.105:8092
联通CCTV5,http://123.113.11.89:4022/rtp/239.3.1.173:8001
联通CCTV5+,http://123.113.11.89:4022/rtp/239.3.1.130:8004
联通CCTV6,http://123.113.11.89:4022/rtp/239.3.1.174:8001
联通CCTV7,http://123.113.11.89:4022/rtp/239.3.1.61:8104
联通CCTV8,http://123.113.11.89:4022/rtp/239.3.1.175:8001
联通CCTV9,http://123.113.11.89:4022/rtp/239.3.1.62:8112
联通CCTV10,http://123.113.11.89:4022/rtp/239.3.1.63:8116
联通CCTV11,http://123.113.11.89:4022/rtp/239.3.1.152:8120
联通CCTV12,http://123.113.11.89:4022/rtp/239.3.1.64:8124
联通CCTV13,http://123.113.11.89:4022/rtp/239.3.1.124:8128
联通CCTV14,http://123.113.11.89:4022/rtp/239.3.1.65:8132
联通CCTV15,http://123.113.11.89:4022/rtp/239.3.1.153:8136
联通CCTV16,http://123.113.11.89:4022/rtp/239.3.1.184:8001
联通CCTV17,http://123.113.11.89:4022/rtp/239.3.1.151:8144

CCTV-1,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/1/index.m3u8
CCTV-2,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/2/index.m3u8
CCTV-3,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/3/index.m3u8
CCTV-4,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/4/index.m3u8
CCTV-5,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/5/index.m3u8
CCTV-5+,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/16/index.m3u8
CCTV-6,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/6/index.m3u8
CCTV-7,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/7/index.m3u8
CCTV-8,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/8/index.m3u8
CCTV-9,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/9/index.m3u8
CCTV-10,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/10/index.m3u8
CCTV-11,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/11/index.m3u8
CCTV-12,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/12/index.m3u8
CCTV-13,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/13/index.m3u8
CCTV-14,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/14/index.m3u8
CCTV-15,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/15/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://84a6b2ef5c657f63-web.olt.sczhgx.com:8999/hls/17/index.m3u8



CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2,http://39.134.66.110/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4,http://39.134.66.110/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11,http://39.134.66.110/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13,http://39.134.66.110/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15,http://39.134.66.110/PLTV/88888888/224/3221225513/index.m3u8
CCTV-16,http://39.134.66.110/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CCTV-1,http://123.182.60.29:9002/hls/1/index.m3u8
CCTV-2,http://123.182.60.29:9002/hls/2/index.m3u8
CCTV-3,http://121.19.134.109:808/hls/3/index.m3u8
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV-5,http://121.19.134.109:808/hls/5/index.m3u8
CCTV-6,http://121.19.134.109:808/hls/6/index.m3u8
CCTV-7,http://123.182.60.29:9002/hls/9/index.m3u8
CCTV-8,http://121.19.134.109:808/hls/8/index.m3u8
CCTV-9,http://123.182.60.29:9002/hls/51/index.m3u8
CCTV-10,http://123.182.60.29:9002/hls/10/index.m3u8
CCTV-11,http://123.182.60.29:9002/hls/11/index.m3u8
CCTV-12,http://123.182.60.29:9002/hls/12/index.m3u8
CCTV-13,http://123.182.60.29:9002/hls/13/index.m3u8
CCTV-14,http://123.182.60.29:9002/hls/14/index.m3u8
CCTV-15,http://123.182.60.29:9002/hls/15/index.m3u8
CCTV-17,http://219.147.200.9:18080/newlive/live/hls/17/live.m3u8
CCTV-5+,http://123.182.60.29:9002/hls/17/index.m3u8

CCTV-1,http://122.138.218.254:50085/hls/1/index.m3u8
CCTV-2,http://122.138.218.254:50085/hls/2/index.m3u8
CCTV-3,http://122.138.218.254:50085/hls/3/index.m3u8
CCTV-4,http://122.138.218.254:50085/hls/4/index.m3u8
CCTV-5,http://122.138.218.254:50085/hls/5/index.m3u8
CCTV-6,http://122.138.218.254:50085/hls/6/index.m3u8
CCTV-7,http://122.138.218.254:50085/hls/7/index.m3u8
CCTV-8,http://122.138.218.254:50085/hls/8/index.m3u8
CCTV-9,http://122.138.218.254:50085/hls/9/index.m3u8
CCTV-10,http://122.138.218.254:50085/hls/10/index.m3u8
CCTV-11,http://122.138.218.254:50085/hls/11/index.m3u8
CCTV-12,http://122.138.218.254:50085/hls/12/index.m3u8
CCTV-13,http://122.138.218.254:50085/hls/13/index.m3u8
CCTV-14,http://122.138.218.254:50085/hls/14/index.m3u8
CCTV-15,http://122.138.218.254:50085/hls/15/index.m3u8
CCTV-16,http://122.138.218.254:50085/hls/16/index.m3u8
CCTV-17,http://122.138.218.254:50085/hls/17/index.m3u8

CCTV-1,http://121.19.134.245:808/hls/1/index.m3u8
CCTV-2,http://121.19.134.245:808/hls/2/index.m3u8
CCTV-3,http://121.19.134.245:808/hls/3/index.m3u8
CCTV-4,http://121.19.134.245:808/hls/4/index.m3u8
CCTV-5,http://121.19.134.245:808/hls/5/index.m3u8
CCTV-6,http://121.19.134.245:808/hls/6/index.m3u8
CCTV-7,http://121.19.134.245:808/hls/7/index.m3u8
CCTV-8,http://121.19.134.245:808/hls/8/index.m3u8
CCTV-9,http://121.19.134.245:808/hls/9/index.m3u8
CCTV-10,http://121.19.134.245:808/hls/10/index.m3u8
CCTV-11,http://121.19.134.245:808/hls/11/index.m3u8
CCTV-12,http://121.19.134.245:808/hls/12/index.m3u8
CCTV-13,http://121.19.134.245:808/hls/13/index.m3u8
CCTV-14,http://121.19.134.245:808/hls/14/index.m3u8
CCTV-15,http://121.19.134.245:808/hls/15/index.m3u8
CCTV-17,http://121.19.134.8:808/hls/16/index.m3u8
CCTV-5+,http://121.19.134.245:808/hls/16/index.m3u8

CCTV-1,http://www.huangyi.online:808/hls/1/index.m3u8
CCTV-2,http://www.huangyi.online:808/hls/2/index.m3u8
CCTV-3,http://www.huangyi.online:808/hls/3/index.m3u8
CCTV-4,http://www.huangyi.online:808/hls/4/index.m3u8
CCTV-5,http://www.huangyi.online:808/hls/5/index.m3u8
CCTV-6,http://www.huangyi.online:808/hls/6/index.m3u8
CCTV-7,http://www.huangyi.online:808/hls/7/index.m3u8
CCTV-8,http://www.huangyi.online:808/hls/8/index.m3u8
CCTV-9,http://www.huangyi.online:808/hls/9/index.m3u8
CCTV-10,http://www.huangyi.online:808/hls/10/index.m3u8
CCTV-11,http://www.huangyi.online:808/hls/11/index.m3u8
CCTV-12,http://www.huangyi.online:808/hls/12/index.m3u8
CCTV-13,http://www.huangyi.online:808/hls/13/index.m3u8
CCTV-14,http://www.huangyi.online:808/hls/14/index.m3u8
CCTV-15,http://www.huangyi.online:808/hls/15/index.m3u8
CCTV-5+,http://www.huangyi.online:808/hls/16/index.m3u8


CCTV-1,http://111.11.98.205:9900/hls/1/index.m3u8
CCTV-2,http://111.11.98.205:9900/hls/2/index.m3u8
CCTV-3,http://111.11.98.205:9900/hls/3/index.m3u8
CCTV-4,http://111.11.98.205:9900/hls/4/index.m3u8
CCTV-5,http://111.11.98.205:9900/hls/5/index.m3u8
CCTV-6,http://111.11.98.205:9900/hls/6/index.m3u8
CCTV-7,http://111.11.98.205:9900/hls/7/index.m3u8
CCTV-8,http://111.11.98.205:9900/hls/8/index.m3u8
CCTV-9,http://111.11.98.205:9900/hls/9/index.m3u8
CCTV-10,http://111.11.98.205:9900/hls/10/index.m3u8
CCTV-11,http://111.11.98.205:9900/hls/11/index.m3u8
CCTV-12,http://111.11.98.205:9900/hls/12/index.m3u8
CCTV-13,http://111.11.98.205:9900/hls/13/index.m3u8
CCTV-14,http://111.11.98.205:9900/hls/14/index.m3u8
CCTV-15,http://111.11.98.205:9900/hls/15/index.m3u8
CCTV-5+,http://111.11.98.205:9900/hls/17/index.m3u8


CCTV-1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-2,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-6,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV-6,https://pull-hls-f11.douyincdn.com/media/stream-690999952763519660.m3u8
CCTV-6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
